osm_id,highway,lanes,maxspeed,name,oneway,WKT
"31043918","nan",,,,,"POINT (-77.0597167 -11.9769393)"
"31043921","nan",,,,,"POINT (-77.0595029 -11.9769902)"
"31043922","nan",,,,,"POINT (-77.0594006 -11.9766165)"
"31043923","nan",,,,,"POINT (-77.0595696 -11.976523)"
"31080171","nan",,,,,"POINT (-77.0559226 -11.966191)"
"31080415","traffic_signals",,,,,"POINT (-77.0595383 -11.9764468)"
"31080420","nan",,,,,"POINT (-77.0617846 -11.964704)"
"31080421","nan",,,,,"POINT (-77.0625289 -11.9616677)"
"31080422","nan",,,,,"POINT (-77.0626282 -11.9613677)"
"31080429","nan",,,,,"POINT (-77.0646818 -11.952472)"
"31080488","nan",,,,,"POINT (-77.0520449 -11.9263527)"
"31080492","nan",,,,,"POINT (-77.0555551 -11.9337471)"
"31080495","nan",,,,,"POINT (-77.0598994 -11.9415485)"
"31080499","traffic_signals",,,,,"POINT (-77.0605458 -11.9459934)"
"31080505","nan",,,,,"POINT (-77.0598818 -11.9562261)"
"31080516","traffic_signals",,,,,"POINT (-77.053746 -11.9300389)"
"31080517","nan",,,,,"POINT (-77.0559181 -11.9339562)"
"31080523","nan",,,,,"POINT (-77.0607215 -11.9435812)"
"31080530","nan",,,,,"POINT (-77.060005 -11.9554411)"
"273349943","nan",,,,,"POINT (-77.0627529 -11.9614254)"
"273428524","nan",,,,,"POINT (-77.0596531 -11.9749918)"
"273428687","nan",,,,,"POINT (-77.066418 -11.9452604)"
"273428699","nan",,,,,"POINT (-77.0578127 -11.9491416)"
"273428704","nan",,,,,"POINT (-77.0559834 -11.9507048)"
"273428795","nan",,,,,"POINT (-77.0564885 -11.9506399)"
"273428798","nan",,,,,"POINT (-77.0579255 -11.9491814)"
"273428802","nan",,,,,"POINT (-77.0588199 -11.9468659)"
"273428804","nan",,,,,"POINT (-77.0598241 -11.9463062)"
"273428841","nan",,,,,"POINT (-77.0514694 -11.9525292)"
"273428842","nan",,,,,"POINT (-77.0529855 -11.9520528)"
"273428979","nan",,,,,"POINT (-77.060163 -11.9645121)"
"273428987","nan",,,,,"POINT (-77.0586947 -11.9586078)"
"273428988","nan",,,,,"POINT (-77.0577256 -11.9557959)"
"273428990","nan",,,,,"POINT (-77.0560273 -11.9508262)"
"273429036","nan",,,,,"POINT (-77.0600433 -11.964503)"
"273429138","nan",,,,,"POINT (-77.0559977 -11.9659587)"
"273429172","nan",,,,,"POINT (-77.0606032 -11.9646215)"
"273429178","nan",,,,,"POINT (-77.0561001 -11.9660978)"
"273429229","nan",,,,,"POINT (-77.0570914 -11.9677674)"
"273922616","nan",,,,,"POINT (-77.063171 -11.9553823)"
"273922618","nan",,,,,"POINT (-77.0638593 -11.9556159)"
"273922619","nan",,,,,"POINT (-77.0639959 -11.9556667)"
"273923208","nan",,,,,"POINT (-77.0554438 -11.9563267)"
"273923214","nan",,,,,"POINT (-77.0575948 -11.9558582)"
"273923216","nan",,,,,"POINT (-77.0588685 -11.9554198)"
"273923287","nan",,,,,"POINT (-77.0601508 -11.9554372)"
"273923291","nan",,,,,"POINT (-77.0638098 -11.9557471)"
"273923292","nan",,,,,"POINT (-77.0639433 -11.9557984)"
"273925698","nan",,,,,"POINT (-77.0665317 -11.9447222)"
"273926095","nan",,,,,"POINT (-77.0699378 -11.9495821)"
"273927342","nan",,,,,"POINT (-77.0691189 -11.9499134)"
"273927343","nan",,,,,"POINT (-77.0690608 -11.9503232)"
"273927345","nan",,,,,"POINT (-77.0686857 -11.9529667)"
"273927451","nan",,,,,"POINT (-77.0694495 -11.9502447)"
"273927543","nan",,,,,"POINT (-77.0670702 -11.9484169)"
"273927546","nan",,,,,"POINT (-77.0678763 -11.9486498)"
"273927673","nan",,,,,"POINT (-77.0666272 -11.9505826)"
"273927674","nan",,,,,"POINT (-77.0689714 -11.9509533)"
"273927827","nan",,,,,"POINT (-77.0664182 -11.951596)"
"273927829","nan",,,,,"POINT (-77.0688291 -11.9519562)"
"273927883","nan",,,,,"POINT (-77.0680749 -11.9475725)"
"273927885","nan",,,,,"POINT (-77.0662634 -11.9472243)"
"273927897","nan",,,,,"POINT (-77.0672632 -11.9474253)"
"273927899","nan",,,,,"POINT (-77.0662339 -11.9526073)"
"273927958","nan",,,,,"POINT (-77.0690052 -11.9487205)"
"273928014","nan",,,,,"POINT (-77.0697227 -11.9476918)"
"273928015","nan",,,,,"POINT (-77.0701978 -11.9477586)"
"273928116","nan",,,,,"POINT (-77.0651249 -11.9524446)"
"273928345","nan",,,,,"POINT (-77.066599 -11.9455671)"
"273928349","nan",,,,,"POINT (-77.0652613 -11.9524647)"
"273928447","nan",,,,,"POINT (-77.0668667 -11.9494064)"
"273928513","nan",,,,,"POINT (-77.0682094 -11.9474678)"
"273928519","nan",,,,,"POINT (-77.0686048 -11.9452187)"
"273928903","nan",,,,,"POINT (-77.067368 -11.9527736)"
"273948193","nan",,,,,"POINT (-77.0662605 -11.9421518)"
"273948195","nan",,,,,"POINT (-77.0644002 -11.9417846)"
"273948199","nan",,,,,"POINT (-77.0619029 -11.9417855)"
"273948202","nan",,,,,"POINT (-77.0601062 -11.9425107)"
"273948204","nan",,,,,"POINT (-77.0571124 -11.9449734)"
"273948208","nan",,,,,"POINT (-77.0523656 -11.9473986)"
"273948210","nan",,,,,"POINT (-77.0514822 -11.9474742)"
"273948212","nan",,,,,"POINT (-77.0644259 -11.9416569)"
"273948217","nan",,,,,"POINT (-77.0618639 -11.9416695)"
"273948218","nan",,,,,"POINT (-77.0609455 -11.9419466)"
"273948222","nan",,,,,"POINT (-77.058275 -11.9437414)"
"273948229","nan",,,,,"POINT (-77.0514968 -11.947306)"
"273948251","nan",,,,,"POINT (-77.0716908 -11.9375427)"
"273948273","nan",,,,,"POINT (-77.0525138 -11.9445698)"
"273948274","nan",,,,,"POINT (-77.0524815 -11.944687)"
"289367604","nan",,,,,"POINT (-77.0684689 -11.937371)"
"549089857","nan",,,,,"POINT (-77.0626824 -11.961715)"
"549090019","nan",,,,,"POINT (-77.0619361 -11.964737)"
"549090057","nan",,,,,"POINT (-77.0619019 -11.964899)"
"549090115","nan",,,,,"POINT (-77.0597543 -11.9758894)"
"549090121","traffic_signals",,,,,"POINT (-77.0596705 -11.9764296)"
"599281222","nan",,,,,"POINT (-77.0617989 -11.9389142)"
"599281313","nan",,,,,"POINT (-77.0595772 -11.9401852)"
"599281317","nan",,,,,"POINT (-77.0676221 -11.9379785)"
"599281357","nan",,,,,"POINT (-77.0638967 -11.9246108)"
"599286937","nan",,,,,"POINT (-77.0435884 -11.9290585)"
"599286948","nan",,,,,"POINT (-77.0467274 -11.9336242)"
"599287159","nan",,,,,"POINT (-77.0466044 -11.9336879)"
"599287162","nan",,,,,"POINT (-77.0445313 -11.9311741)"
